PATH: D:\Program\dzh365(64)\data\SH\INFOEX.DAT
SIZE: 5252120
TOTAL_6DIGIT_CODES: 26610
UNIQUE_CODES: 26610

TOP 200 CODES BY FIRST OCCURRENCE:
0090: 00 00 00 00 4b bb cf 4f a2 99 d7 4e 90 e0 0e 50
00a0: b1 d5 ef 4f 00 00

=== CODE 000005 occurrence 1 at 956 (context_start=892) ===
0000: 00 16 3d 4d fe 5d 1e 49 00 00 00 00 00 00 00 00
0010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0020: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0030: 00 00 00 00 00 00 00 00 00 00 80 3f 00 00 00 00
0040: 30 30 30 30 30 35 00 00 da 03 00 80 da 27 35 01
0050: 16 27 35 01 00 00 00 00 b9 17 08 3e b7 7f 28 40
0060: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0070: 32 b7 2d 41 fe 8c 87 41 c7 38 3c 41 c4 49 08 42
0080: 00 00 00 00 f6 e5 23 50 36 6e a4 4d 02 0c 1e 4d
0090: 00 00 00 00 74 9a 70 4d 0d 53 b3 4e ca 36 11 50
00a0: c3 5b 8e 4e 00 00

=== CODE 000006 occurrence 1 at 1180 (context_start=1116) ===
0000: 38 d4 0e 4c d3 0c 42 47 00 00 00 00 00 00 00 00
0010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0020: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0030: 00 00 00 00 00 00 00 00 00 00 80 3f 00 00 00 00
0040: 30 30 30 30 30 36 00 00 da 03 00 80 da 27 35 01
0050: 16 27 35 01 00 00 00 00 3f 8e 66 bc 84 b7 43 3f
0060: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0070: f0 be 67 41 7b 1e 2b 42 e8 98 4a c1 96 83 d2 41
0080: 00 00 00 00 8d 9f e5 4d 20 8f 8b 4d e6 69 a9 4b
0090: 00 00 00 00 f4 12 32 4d 76 a3 0a 4d ea f9 a6 4d
00a0: 1d 09 85 4c 00 00

=== CODE 000007 occurrence 1 at 1404 (context_start=1340) ===
